"infinitive","stem","tense","person","pronoun","final_form"
"igbu","gbu","future","1p","anyị","anyị ga gbu"
"igbu","gbu","future","1s","m","m ga gbu"
"igbu","gbu","future","2p","unu","unu ga gbu"
"igbu","gbu","future","2s","ị","ị ga gbu"
"igbu","gbu","future","3p","ha","ha ga gbu"
"igbu","gbu","future","3s","ọ","ọ ga gbu"
"igbu","gbu","past","1p","anyị","gburu"
"igbu","gbu","past","1s","m","gburu"
"igbu","gbu","past","2p","unu","gburu"
"igbu","gbu","past","2s","ị","gburu"
"igbu","gbu","past","3p","ha","gburu"
"igbu","gbu","past","3s","ọ","gburu"
"igbu","gbu","past_perf","1p","anyị","gbubugo"
"igbu","gbu","past_perf","1s","m","gbubugo"
"igbu","gbu","past_perf","2p","unu","gbubugo"
"igbu","gbu","past_perf","2s","ị","gbubugo"
"igbu","gbu","past_perf","3p","ha","gbubugo"
"igbu","gbu","past_perf","3s","ọ","gbubugo"
"igbu","gbu","pres_cont","1p","anyị","anyị na gbu"
"igbu","gbu","pres_cont","1s","m","m na gbu"
"igbu","gbu","pres_cont","2p","unu","unu na gbu"
"igbu","gbu","pres_cont","2s","ị","ị na gbu"
"igbu","gbu","pres_cont","3p","ha","ha na gbu"
"igbu","gbu","pres_cont","3s","ọ","ọ na gbu"
"igbu","gbu","pres_perf","1p","anyị","gbugo"
"igbu","gbu","pres_perf","1s","m","gbugo"
"igbu","gbu","pres_perf","2p","unu","gbugo"
"igbu","gbu","pres_perf","2s","ị","gbugo"
"igbu","gbu","pres_perf","3p","ha","gbugo"
"igbu","gbu","pres_perf","3s","ọ","gbugo"
"igbu","gbu","present","1p","anyị","anyị gbu"
"igbu","gbu","present","1s","m","m gbu"
"igbu","gbu","present","2p","unu","unu gbu"
"igbu","gbu","present","2s","ị","ị gbu"
"igbu","gbu","present","3p","ha","ha gbu"
"igbu","gbu","present","3s","ọ","ọ gbu"
"ime","me","future","1p","anyị","anyị ga me"
"ime","me","future","1s","m","m ga me"
"ime","me","future","2p","unu","unu ga me"
"ime","me","future","2s","ị","ị ga me"
"ime","me","future","3p","ha","ha ga me"
"ime","me","future","3s","ọ","ọ ga me"
"ime","me","past","1p","anyị","mere"
"ime","me","past","1s","m","mere"
"ime","me","past","2p","unu","mere"
"ime","me","past","2s","ị","mere"
"ime","me","past","3p","ha","mere"
"ime","me","past","3s","ọ","mere"
"ime","me","past_perf","1p","anyị","mebugo"
"ime","me","past_perf","1s","m","mebugo"
"ime","me","past_perf","2p","unu","mebugo"
"ime","me","past_perf","2s","ị","mebugo"
"ime","me","past_perf","3p","ha","mebugo"
"ime","me","past_perf","3s","ọ","mebugo"
"ime","me","pres_cont","1p","anyị","anyị na me"
"ime","me","pres_cont","1s","m","m na me"
"ime","me","pres_cont","2p","unu","unu na me"
"ime","me","pres_cont","2s","ị","ị na me"
"ime","me","pres_cont","3p","ha","ha na me"
"ime","me","pres_cont","3s","ọ","ọ na me"
"ime","me","pres_perf","1p","anyị","mego"
"ime","me","pres_perf","1s","m","mego"
"ime","me","pres_perf","2p","unu","mego"
"ime","me","pres_perf","2s","ị","mego"
"ime","me","pres_perf","3p","ha","mego"
"ime","me","pres_perf","3s","ọ","mego"
"ime","me","present","1p","anyị","anyị me"
"ime","me","present","1s","m","m me"
"ime","me","present","2p","unu","unu me"
"ime","me","present","2s","ị","ị me"
"ime","me","present","3p","ha","ha me"
"ime","me","present","3s","ọ","ọ me"
"inye","nye","future","1p","anyị","anyị ga nye"
"inye","nye","future","1s","m","m ga nye"
"inye","nye","future","2p","unu","unu ga nye"
"inye","nye","future","2s","ị","ị ga nye"
"inye","nye","future","3p","ha","ha ga nye"
"inye","nye","future","3s","ọ","ọ ga nye"
"inye","nye","past","1p","anyị","nyere"
"inye","nye","past","1s","m","nyere"
"inye","nye","past","2p","unu","nyere"
"inye","nye","past","2s","ị","nyere"
"inye","nye","past","3p","ha","nyere"
"inye","nye","past","3s","ọ","nyere"
"inye","nye","past_perf","1p","anyị","nyebugo"
"inye","nye","past_perf","1s","m","nyebugo"
"inye","nye","past_perf","2p","unu","nyebugo"
"inye","nye","past_perf","2s","ị","nyebugo"
"inye","nye","past_perf","3p","ha","nyebugo"
"inye","nye","past_perf","3s","ọ","nyebugo"
"inye","nye","pres_cont","1p","anyị","anyị na nye"
"inye","nye","pres_cont","1s","m","m na nye"
"inye","nye","pres_cont","2p","unu","unu na nye"
"inye","nye","pres_cont","2s","ị","ị na nye"
"inye","nye","pres_cont","3p","ha","ha na nye"
"inye","nye","pres_cont","3s","ọ","ọ na nye"
"inye","nye","pres_perf","1p","anyị","nyego"
"inye","nye","pres_perf","1s","m","nyego"
"inye","nye","pres_perf","2p","unu","nyego"
"inye","nye","pres_perf","2s","ị","nyego"
"inye","nye","pres_perf","3p","ha","nyego"
"inye","nye","pres_perf","3s","ọ","nyego"
"inye","nye","present","1p","anyị","anyị nye"
"inye","nye","present","1s","m","m nye"
"inye","nye","present","2p","unu","unu nye"
"inye","nye","present","2s","ị","ị nye"
"inye","nye","present","3p","ha","ha nye"
"inye","nye","present","3s","ọ","ọ nye"
"iri","ri","future","1p","anyị","anyị ga ri"
"iri","ri","future","1s","m","m ga ri"
"iri","ri","future","2p","unu","unu ga ri"
"iri","ri","future","2s","ị","ị ga ri"
"iri","ri","future","3p","ha","ha ga ri"
"iri","ri","future","3s","ọ","ọ ga ri"
"iri","ri","past","1p","anyị","riri"
"iri","ri","past","1s","m","riri"
"iri","ri","past","2p","unu","riri"
"iri","ri","past","2s","ị","riri"
"iri","ri","past","3p","ha","riri"
"iri","ri","past","3s","ọ","riri"
"iri","ri","past_perf","1p","anyị","ribugo"
"iri","ri","past_perf","1s","m","ribugo"
"iri","ri","past_perf","2p","unu","ribugo"
"iri","ri","past_perf","2s","ị","ribugo"
"iri","ri","past_perf","3p","ha","ribugo"
"iri","ri","past_perf","3s","ọ","ribugo"
"iri","ri","pres_cont","1p","anyị","anyị na ri"
"iri","ri","pres_cont","1s","m","m na ri"
"iri","ri","pres_cont","2p","unu","unu na ri"
"iri","ri","pres_cont","2s","ị","ị na ri"
"iri","ri","pres_cont","3p","ha","ha na ri"
"iri","ri","pres_cont","3s","ọ","ọ na ri"
"iri","ri","pres_perf","1p","anyị","rigo"
